Pclass,Gender,Age,Fare,Embarked,Survived
1,0,38,71.28,1,1
1,0,35,53.1,0,1
1,1,54,51.86,0,0
3,0,4,16.7,0,1
1,0,58,26.55,0,1
2,1,34,13,0,1
1,1,28,35.5,0,1
1,1,19,263,0,0
1,0,49,76.73,1,1
1,1,65,61.98,1,0
1,1,45,83.48,0,0
2,0,29,10.5,0,1
3,1,25,7.65,0,0
1,0,23,263,0,1
1,1,46,61.18,0,0
1,1,71,34.65,1,0
1,1,23,63.36,1,1
1,1,21,77.29,0,0
1,1,47,52,0,0
1,1,24,247.52,1,0
2,0,32.5,13,0,1
1,1,54,77.29,0,0
1,0,19,26.28,0,1
1,1,37,53.1,0,0
1,1,24,79.2,1,0
2,1,36.5,26,0,0
1,0,22,66.6,0,1
1,1,61,33.5,0,0
1,1,56,30.7,1,0
1,0,50,28.71,1,0
2,1,1,39,0,1
2,1,3,26,0,1
1,0,44,27.72,1,1
1,0,58,146.52,1,1
3,0,2,10.46,0,0
1,1,40,31,1,1
1,0,31,113.28,1,1
1,0,32,76.29,1,1
1,1,38,90,0,1
1,0,35,83.48,0,1
1,1,44,90,0,0
1,1,37,52.55,0,1
3,0,29,10.46,0,0
1,1,62,26.55,0,0
1,0,30,86.5,0,1
1,1,52,79.65,0,0
1,1,40,0,0,0
1,0,58,153.46,0,1
1,0,35,135.63,0,1
1,1,37,29.7,1,0
1,0,63,77.96,0,1
1,0,19,91.08,1,1
2,1,36,12.88,1,0
1,0,2,151.55,0,0
1,0,50,247.52,1,1
1,1,0.92,151.55,0,1
1,0,17,108.9,1,1
1,0,30,56.93,1,1
1,0,24,83.16,1,1
1,0,18,262.38,1,1
1,0,31,164.87,0,1
1,0,40,134.5,1,1
1,0,36,135.63,1,1
2,0,36,13,0,1
1,0,16,57.98,1,1
1,1,45.5,28.5,0,0
1,1,38,153.46,0,0
1,1,29,66.6,0,0
1,0,41,134.5,1,1
1,1,45,35.5,0,0
2,1,2,26,0,1
1,0,24,263,0,1
2,0,24,13,0,1
1,0,22,55,0,1
1,0,60,75.25,1,1
1,0,24,69.3,1,1
1,1,25,55.44,1,1
1,1,27,211.5,1,0
1,1,36,120,0,1
1,0,23,113.28,1,1
3,0,24,16.7,0,1
1,0,33,90,0,1
3,1,32,8.05,0,1
1,1,28,26.55,0,1
1,1,50,55.9,0,0
1,0,14,120,0,1
1,1,64,263,0,0
1,1,4,81.86,0,1
